,Datum,Wochentag,Organisation,Veranstaltung,Von,Bis,Beschreibung,Bemerkung,Ort
,01.01.2023,Sonntag,,,,,,,
,02.01.2023,Montag,,,,,,,
,03.01.2023,Dienstag,,,,,,,
,04.01.2023,Mittwoch,,,,,,,
,05.01.2023,Donnerstag,,,,,,,
,06.01.2023,Freitag,,,,,,,
,07.01.2023,Samstag,,,,,,,
,08.01.2023,Sonntag,,,,,,,
,09.01.2023,Montag,,,,,,,
,10.01.2023,Dienstag,,,,,,,
,11.01.2023,Mittwoch,,,,,,,
,12.01.2023,Donnerstag,,,,,,,
,13.01.2023,Freitag,,,,,,,
,14.01.2023,Samstag,,,,,,,
,15.01.2023,Sonntag,,,,,,,
,16.01.2023,Montag,,,,,,,
,17.01.2023,Dienstag,,,,,,,
,18.01.2023,Mittwoch,,,,,,,
,19.01.2023,Donnerstag,,,,,,,
,20.01.2023,Freitag,,,,,,,
,21.01.2023,Samstag,,,,,,,
,22.01.2023,Sonntag,,,,,,,
,23.01.2023,Montag,,,,,,,
,24.01.2023,Dienstag,,,,,,,
,25.01.2023,Mittwoch,Veganer Stammtisch,Monatliches Treffen,18:00:00,20:00:00,In gemütlicher Runde wird sich über Veganismus ausgetauscht und dabei leckere vegane Speisen probiert.,"Ab 17 Uhr gemeinsames Vorbereiten, spendenbasiert","Pi-Haus (Beethovenstraße 5, 09599 Freiberg)"
,26.01.2023,Donnerstag,,,,,,,
,27.01.2023,Freitag,,,,,,,
,28.01.2023,Samstag,,,,,,,
,29.01.2023,Sonntag,,,,,,,
,30.01.2023,Montag,,,,,,,
,31.01.2023,Dienstag,AG Umwelt,"Filmvorführung ""The North Drift""",20:00:00,23:00:00,Filmvorführung  zum Thema Plastikmüll in Gewässern,"Evtl. kommt auch der Regisseur, Kooperation von AG Umwelt, Agenda 21, SEBIT, ePi-zentrum","Stadtwirtschaft (Burgstraße 18, 09599 Freiberg)"
,01.02.2023,Mittwoch,Reparaturcafé,Monatliches Treffen,18:00:00,20:00:00,"Sie können dort mit einer Vielzahl von Werkzeugen und mit der Hilfe durch Ehrenamtliche defekte Haushaltsgeräte, Elektronikgeräte, ihr Fahrrad oder ähnliche Gegenstände reparieren.",Immer am 1. Mittwoch im Monat,"Mehrgenerationenhaus „Buntes Haus"" (Tschaikowskistraße 57a, 09599 Freiberg)"
,02.02.2023,Donnerstag,,,,,,,
,03.02.2023,Freitag,,,,,,,
